Species,Fishbase Link,Ref #,Sex,l_inf,k_vb,t0,w_inf,l_mat,M,phi_prime,Locality,Territory,Temp,a,b,l_max_fishbase,l_max_type,La,Lb,,
Trachurus trachurus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=314&vautoctr=2520&cap=n,6974 & 7111,Unsexed,33.8,0.289,,312,,,2.52,North Sea,,9,0.00813,2.96,70,TL,,,,
Trachurus trachurus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=314&vautoctr=2509&cap=n,312 & 768,Unsexed,43.4,0.18,-0.48,666,18.5,,2.53,"North Sea, Coastal Waters",Germany,9,0.00813,2.96,70,TL,,,,
Scomber scombrus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=416&vautoctr=833&cap=n,312 & 1209,Unsexed,37.4,0.47,-0.97,463,,,2.82,Celtic Sea,France,11.9,0.00646,3.07,60,FL,0.007,1.071,,
Scomber scombrus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=416&vautoctr=22773&cap=n,110404 & 117582,Mixed,45.9,0.196,-3.03,767.62,,,2.62,ICES Division VIIIabc Bay of Biscay,,,0.00646,3.07,60,FL,0.007,1.071,,
Scomber scombrus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=416&vautoctr=835&cap=n,312 & 1206,Unsexed,41,0.44,,620,28,0.15,2.87,North East Atlantic,France,12,0.00646,3.07,60,FL,0.007,1.071,,
Scomber scombrus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=416&vautoctr=836&cap=n,312 & 1209,Unsexed,42,0.238,-2.07,669,,0.13,2.62,Southern North Sea,France,11.2,0.00646,3.07,60,FL,0.007,1.071,,
Scomber scombrus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=416&vautoctr=22765&cap=n,110404 & 117578,Mixed,39.9,0.259,-2.84,500.01,,,2.62,"ICES Divisions Via, VIIb, VIIj",Ireland,,0.00646,3.07,60,FL,0.007,1.071,,
Scomber scombrus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=416&vautoctr=25873&cap=n,125631 & 51864,Female,48.3,0.143,,,,0.2,2.52,Rockall Trough and Procupine Bank (1995-1999),Ireland,,0.00646,3.07,60,FL,0.007,1.071,,
Scomber scombrus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=416&vautoctr=843&cap=n,1836 & 1204,Unsexed,41.8,0.43,,659,,,2.88,English Channel & Irish Sea,UK Engld Wal,10.7,0.00646,3.07,60,FL,0.007,1.071,,
Scomber scombrus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=416&vautoctr=842&cap=n,1836 & 1210,Unsexed,37,0.56,,447,,,2.88,English Channel,UK Engld Wal,11.7,0.00646,3.07,60,FL,0.007,1.071,,
Scomber scombrus,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=416&vautoctr=832&cap=n,312 & 1209,Unsexed,33.6,0.837,-0.18,272,,,2.98,Central North Sea,UK Engld Wal,9,0.00646,3.07,60,FL,0.007,1.071,,
Pleuronectes platessa,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=440&vautoctr=8338&cap=n,27256,Unsexed,59.4,0.11,,2200,28.8,,2.59,Celtic Sea,UK,13,0.00776,3.07,100,SL,0,1.264,,
Pleuronectes platessa,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=440&vautoctr=2416&cap=n,4552,Female,52.2,0.155,,1600,,,2.63,"Southern Bight, North Sea",UK Engld Wal,13,0.00776,3.07,100,SL,0,1.264,,
Pleuronectes platessa,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=440&vautoctr=5135&cap=n,34032,Unsexed,58.3,0.12,-1.56,2300,,,2.61,"Anglesey, North Wales",UK Engld Wal,13,0.00776,3.07,100,SL,0,1.264,,
Pleuronectes platessa,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=440&vautoctr=5139&cap=n,34032,Unsexed,60.8,0.126,-2.26,2600,,0.2,2.67,"Anglesey, North Wales",UK Engld Wal,12,0.00776,3.07,100,SL,0,1.264,,
Pleuronectes platessa,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=440&vautoctr=5137&cap=n,34032,Unsexed,73.2,0.095,-2.07,4500,,,2.71,"Anglesey, North Wales",UK Engld Wal,13,0.00776,3.07,100,SL,0,1.264,,
Pleuronectes platessa,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=440&vautoctr=5136&cap=n,34032,Unsexed,81.6,0.062,-2.36,6200,,,2.62,"Anglesey, North Wales",UK Engld Wal,13,0.00776,3.07,100,SL,0,1.264,,
Pleuronectes platessa,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=440&vautoctr=2418&cap=n,4552,Female,56.1,0.132,,2000,,,2.62,"Cleaver Bank, North Sea",UK,12,0.00776,3.07,100,SL,0,1.264,,
Pleuronectes platessa,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=440&vautoctr=8337&cap=n,27256,Unsexed,54.4,0.11,,1600,26.6,,2.51,North Sea,UK,12,0.00776,3.07,100,SL,0,1.264,,
Pleuronectes platessa,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=440&vautoctr=2424&cap=n,4552,Unsexed,68.5,0.095,,3600,,0.12,2.65,"Lowestoft, North Sea",UK Engld Wal,10.6,0.00776,3.07,100,SL,0,1.264,,
Pleuronectes platessa,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=440&vautoctr=2419&cap=n,4552,Female,57.2,0.098,,2100,,,2.51,"Lowestoft, North Sea",UK Engld Wal,13,0.00776,3.07,100,SL,0,1.264,,
Lepidorhombus whiffiagonis,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=515&vautoctr=22493&cap=n,37966,Male,43.7,0.16,-0.15,535.9,,,2.49,NE Atlantic: ICES Division VII,,,0.00479,3.1,60,TL,,,,
Lepidorhombus whiffiagonis,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=515&vautoctr=22494&cap=n,37966,Female,62.7,0.14,0.4,1600,,,2.74,Northeast Atlantic: ICES Div. VII,,,0.00479,3.1,60,TL,,,,
Lepidorhombus whiffiagonis,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=515&vautoctr=11164&cap=n,92460,Female,59,0.12,-1.34,1400,,,2.62,Bay of Biscay (ICES VIIIab),France,,0.00479,3.1,60,TL,,,,
Lepidorhombus whiffiagonis,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=515&vautoctr=325&cap=n,312 & 751,Male,59.4,0.13,,1400,18,,2.66,"North of Gulf of Biscay, 200 m depth",France,11,0.00479,3.1,60,TL,,,,
Lepidorhombus whiffiagonis,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=515&vautoctr=11167&cap=n,92460,Male,39.36,0.29,0.14,387.9,,,2.65,Northeast Atlantic (ICES Div. VII),Ireland,,0.00479,3.1,60,TL,,,,
Lepidorhombus whiffiagonis,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=515&vautoctr=22495&cap=n,37966,Male,42.8,0.17,-0.49,502.53,,,2.49,Northeast Atlantic: ICES Div. VIIab,Ireland,,0.00479,3.1,60,TL,,,,
Lepidorhombus whiffiagonis,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=515&vautoctr=11173&cap=n,92460,Male,46,0.14,-1.25,627.95,,,2.47,Northeast Atlantic (ICES Div. VII),Ireland,,0.00479,3.1,60,TL,,,,
Lepidorhombus whiffiagonis,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=515&vautoctr=22503&cap=n,108908,Female,50.7,0.097,-4.78,848.15,24,,2.4,West coast (Division VII b)(Apr 1997-Feb 2001),Ireland,,0.00479,3.1,60,TL,,,,
Lepidorhombus whiffiagonis,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=515&vautoctr=25146&cap=n,125631 & 108908,Female,53.87,0.187,,,,0.263,2.74,"Off west coast, 1997-2001",Ireland,,0.00479,3.1,60,TL,,,,
Lepidorhombus whiffiagonis,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=515&vautoctr=22496&cap=n,37966,Female,56.05,0.16,-0.28,1200,,,2.7,Northeast Atlantic : ICES Div. VIIab,Ireland,,0.00479,3.1,60,TL,,,,
Lepidorhombus whiffiagonis,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=515&vautoctr=11176&cap=n,92460,Female,60.2,0.14,-0.05,1400,,,2.71,Northeast Atlantic (ICES Div. VII),Ireland,,0.00479,3.1,60,TL,,,,
Lepidorhombus whiffiagonis,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=515&vautoctr=11175&cap=n,92460,Female,63.13,0.11,-0.07,1700,,,2.64,Northeast Atlantic (ICES Div. VII),Ireland,,0.00479,3.1,60,TL,,,,
Lepidorhombus whiffiagonis,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=515&vautoctr=11180&cap=n,92460,Female,66,0.11,-0.31,1900,,,2.68,Northeast Atlantic (ICES Div. VII),Ireland,,0.00479,3.1,60,TL,,,,
Lepidorhombus whiffiagonis,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=515&vautoctr=11177&cap=n,92460,Female,66.8,0.11,-0.33,2000,,,2.69,Northeast Atlantic (ICES Div. VII),Ireland,,0.00479,3.1,60,TL,,,,
Lepidorhombus whiffiagonis,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=515&vautoctr=11174&cap=n,92460,Female,67.65,0.12,-0.51,2100,,,2.74,Northeast Atlantic (ICES Div. VII),Ireland,,0.00479,3.1,60,TL,,,,
Lepidorhombus whiffiagonis,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=515&vautoctr=11182&cap=n,92460,Male,32.37,0.38,-0.77,212,,,2.6,Bay of Biscay (ICES VIIIc2),Spain,,0.00479,3.1,60,TL,,,,
Lepidorhombus whiffiagonis,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=515&vautoctr=11183&cap=n,92460,Male,34.29,0.26,-0.72,253.32,,,2.49,Bay of Biscay,Spain,,0.00479,3.1,60,TL,,,,
Lepidorhombus whiffiagonis,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=515&vautoctr=22497&cap=n,37966,Male,36.1,0.22,-0.25,269.96,,,2.46,Northeast Atlantic: ICES Div.VIIIc2,Spain,,0.00479,3.1,60,TL,,,,
Lepidorhombus whiffiagonis,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=515&vautoctr=22499&cap=n,37966,Male,36.1,0.24,-0.37,296.96,,,2.5,Northeast Atlantic: ICES Div.VIIIc1,Spain,,0.00479,3.1,60,TL,,,,
Lepidorhombus whiffiagonis,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=515&vautoctr=11186&cap=n,92460,Male,38,0.2,-1.19,347.96,,,2.46,Bay of Biscay (ICES VIIIc2),Spain,,0.00479,3.1,60,TL,,,,
Lepidorhombus whiffiagonis,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=515&vautoctr=11185&cap=n,92460,Male,38,0.21,-0.91,347.96,,,2.48,Bay of Biscay (ICES VIIIc2),Spain,,0.00479,3.1,60,TL,,,,
Lepidorhombus whiffiagonis,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=515&vautoctr=11187&cap=n,92460,Male,38,0.27,-0.22,347.96,,,2.59,Bay of Biscay (ICES VIIIc1),Spain,,0.00479,3.1,60,TL,,,,
Lepidorhombus whiffiagonis,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=515&vautoctr=11189&cap=n,92460,Female,49.59,0.17,-0.82,792.08,,,2.62,Bay of Biscay (ICES VIIIc2),Spain,,0.00479,3.1,60,TL,,,,
Lepidorhombus whiffiagonis,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=515&vautoctr=22498&cap=n,37966,Female,50.4,0.18,-0.13,832.74,,,2.66,Bay of Biscay (ICES VIIIc2),Spain,,0.00479,3.1,60,TL,,,,
Lepidorhombus whiffiagonis,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=515&vautoctr=22500&cap=n,37966,Female,50.4,0.19,-0.3,832.74,,,2.68,Northeast Atlantic: ICES Div.VIIIc1,Spain,,0.00479,3.1,60,TL,,,,
Lepidorhombus whiffiagonis,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=515&vautoctr=11188&cap=n,92460,Female,52.25,0.17,-1.58,930.86,,,2.67,Bay of Biscay (ICES VIIIc2),Spain,,0.00479,3.1,60,TL,,,,
Lepidorhombus whiffiagonis,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=515&vautoctr=11191&cap=n,92460,Female,53,0.17,-0.59,972.77,,,2.68,Bay of Biscay (ICES VIIIc2),Spain,,0.00479,3.1,60,TL,,,,
Lepidorhombus whiffiagonis,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=515&vautoctr=11192&cap=n,92460,Female,53,0.2,0.23,972.77,,,2.75,Bay of Biscay (ICES VIIIc2),Spain,,0.00479,3.1,60,TL,,,,
Lepidorhombus whiffiagonis,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=515&vautoctr=328&cap=n,27372,Unsexed,54,0.12,,1000,23,,2.54,"North Scottish Waters, N. Coast",UK,9,0.00479,3.1,60,TL,,,,
Lepidorhombus whiffiagonis,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=515&vautoctr=326&cap=n,312 & 752,Unsexed,61.1,0.13,-0.94,1500,,,2.69,"North Scottish Waters, N. Coast",UK,9,0.00479,3.1,60,TL,,,,
Solea solea,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=441&vautoctr=8343&cap=n,27256,Unsexed,49.8,0.13,,1200,24.4,,2.5,Celtic Sea,UK,13,0.00724,3.07,70,SL,,,,
Solea solea,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=441&vautoctr=5602&cap=n,32766,Male,42.4,0.397,0.09,717.82,,,2.85,"Douarnenez Bay, Brittany",France,13,0.00724,3.07,70,SL,,,,
Solea solea,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=441&vautoctr=5601&cap=n,32766,Female,48.2,0.329,0.08,1100,,,2.88,"Douarnenez Bay, Brittany",France,13,0.00724,3.07,70,SL,,,,
Solea solea,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=441&vautoctr=25276&cap=n,125631 & 32766,Female,63,0.113,,,,0.159,2.65,"Douarnenez Bay, Brittany",France,,0.00724,3.07,70,SL,,,Note: Netherlands data not taken as it is based on gutted sole (throws w_inf data off -->too low),
Solea solea,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=441&vautoctr=26049&cap=n,125631 & 92941,Unsexed,51.45,0.234,,,26,,2.79,"Bay of Biscay, Divisions VIIIa,b Biscay)",,,0.00724,3.07,70,SL,,,,
Solea solea,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=441&vautoctr=25923&cap=n,125631 & 27256,Unsexed,51.45,0.262,,,24.8,,2.84,"North Sea, 1975-94",UK,,0.00724,3.07,70,SL,,,,
Solea solea,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=441&vautoctr=1878&cap=n,5760,Unsexed,37.4,0.31,,532,,,2.64,North Sea,Denmark,12,0.00724,3.07,70,SL,,,,
Solea solea,https://www.fishbase.se/popdyn/FishPopGrowthSummary.php?fc=441&vautoctr=1844&cap=n,796,Unsexed,39,0.4,,482,,0.25,2.78,North Sea,Denmark,7,0.00724,3.07,70,SL,,,,
